Name,file size (bytes),#lospn ops
kdd_100_200_4_10_10_8_1.0_True_spn_0,2072752,308444
plants_100_200_4_10_10_8_1.0_True_spn_0,2100768,309434
kdd_100_200_1_25_20_10_1.0_True_spn_0,2216416,103032
kdd_100_200_3_16_10_10_1.0_True_spn_0,2231464,322044
bnetflix_100_200_4_10_10_8_1.0_True_spn_0,2261680,315666
jester_100_200_4_10_10_8_1.0_True_spn_0,2261680,315695
baudio_100_200_4_10_10_8_1.0_True_spn_0,2261680,315661
plants_100_200_3_16_10_10_1.0_True_spn_0,2276288,323618
book_100_200_2_10_8_8_1.0_True_spn_0,2307440,114578
tmovie_100_200_2_10_8_8_1.0_True_spn_0,2307440,114579
accidents_100_200_4_10_10_8_1.0_True_spn_0,2323352,317893
plants_100_200_1_25_20_10_1.0_True_spn_0,2348440,108045
tretail_100_200_4_10_10_8_1.0_True_spn_0,2445032,322704
kdd_100_200_2_15_15_15_1.0_True_spn_0,2458328,351249
plants_100_200_2_15_15_15_1.0_True_spn_0,2519552,353491
baudio_100_200_3_16_10_10_1.0_True_spn_0,2533704,333568
jester_100_200_3_16_10_10_1.0_True_spn_0,2533704,333561
bnetflix_100_200_3_16_10_10_1.0_True_spn_0,2533704,333549
pumsb_star_100_200_4_10_10_8_1.0_True_spn_0,2589144,328323
accidents_100_200_3_16_10_10_1.0_True_spn_0,2623336,337108
book_100_200_1_10_10_10_1.0_True_spn_0,2660560,104303
tmovie_100_200_1_10_10_10_1.0_True_spn_0,2660560,104303
dna_100_200_4_10_10_8_1.0_True_spn_0,2681200,331760
ad_100_200_4_6_5_5_1.0_True_spn_0,2686824,128214
kosarek_100_200_4_10_10_8_1.0_True_spn_0,2729256,333763
tretail_100_200_3_16_10_10_1.0_True_spn_0,2826944,344809
cwebkb_100_200_3_10_6_5_1.0_True_spn_0,2857648,132780
baudio_100_200_2_15_15_15_1.0_True_spn_0,2883288,367444
bnetflix_100_200_2_15_15_15_1.0_True_spn_0,2883288,367461
jester_100_200_2_15_15_15_1.0_True_spn_0,2883288,367448
accidents_100_200_2_15_15_15_1.0_True_spn_0,3009320,372416
cr52_100_200_3_10_6_5_1.0_True_spn_0,3013840,138831
pumsb_star_100_200_3_16_10_10_1.0_True_spn_0,3057464,353808
fashion_mnist_200_100_4_5_10_9_1.0_True_spn_0,3069504,259395
mnist_200_100_4_5_10_9_1.0_True_spn_0,3069504,258139
c20ng_100_200_3_10_6_5_1.0_True_spn_0,3078240,141371
baudio_100_200_1_25_20_10_1.0_True_spn_0,3152560,139068
jester_100_200_1_25_20_10_1.0_True_spn_0,3152560,139065
bnetflix_100_200_1_25_20_10_1.0_True_spn_0,3152560,139073
dna_100_200_3_16_10_10_1.0_True_spn_0,3199608,359246
msweb_100_200_4_10_10_8_1.0_True_spn_0,3272064,354622
kosarek_100_200_3_16_10_10_1.0_True_spn_0,3281568,362456
